County_Code,County_Name,Year,Deaths,Population
01001,"Autauga County, AL",2009,412,54135
01003,"Baldwin County, AL",2009,1708,179406
01005,"Barbour County, AL",2009,302,27657
01007,"Bibb County, AL",2009,214,22941
01009,"Blount County, AL",2009,552,57341
01011,"Bullock County, AL",2009,114,10987
01013,"Butler County, AL",2009,244,20867
01015,"Calhoun County, AL",2009,1342,118363
01017,"Chambers County, AL",2009,453,34384
01019,"Cherokee County, AL",2009,304,25854
01021,"Chilton County, AL",2009,447,43484
01023,"Choctaw County, AL",2009,169,13976
01025,"Clarke County, AL",2009,298,26038
01027,"Clay County, AL",2009,206,14006
01029,"Cleburne County, AL",2009,185,14918
01031,"Coffee County, AL",2009,496,49440
01033,"Colbert County, AL",2009,637,54426
01035,"Conecuh County, AL",2009,177,13274
01037,"Coosa County, AL",2009,134,11410
01039,"Covington County, AL",2009,495,37648
01041,"Crenshaw County, AL",2009,182,14024
01043,"Cullman County, AL",2009,930,80351
01045,"Dale County, AL",2009,500,49854
01047,"Dallas County, AL",2009,526,43759
01049,"DeKalb County, AL",2009,744,70864
01051,"Elmore County, AL",2009,670,78632
01053,"Escambia County, AL",2009,429,38249
01055,"Etowah County, AL",2009,1454,104239
01057,"Fayette County, AL",2009,242,17310
01059,"Franklin County, AL",2009,380,31589
01061,"Geneva County, AL",2009,339,26653
01063,"Greene County, AL",2009,87,9182
01065,"Hale County, AL",2009,172,16025
01067,"Henry County, AL",2009,204,17243
01069,"Houston County, AL",2009,985,100500
01071,"Jackson County, AL",2009,630,53461
01073,"Jefferson County, AL",2009,6807,658441
01075,"Lamar County, AL",2009,199,14689
01077,"Lauderdale County, AL",2009,1029,92526
01079,"Lawrence County, AL",2009,383,34315
01081,"Lee County, AL",2009,827,138566
01083,"Limestone County, AL",2009,626,81326
01085,"Lowndes County, AL",2009,142,11486
01087,"Macon County, AL",2009,273,21190
01089,"Madison County, AL",2009,2509,330856
01091,"Marengo County, AL",2009,235,21170
01093,"Marion County, AL",2009,392,30646
01095,"Marshall County, AL",2009,1049,92213
01097,"Mobile County, AL",2009,4074,411994
01099,"Monroe County, AL",2009,245,23218
01101,"Montgomery County, AL",2009,2018,227607
01103,"Morgan County, AL",2009,1128,118954
01105,"Perry County, AL",2009,139,10690
01107,"Pickens County, AL",2009,250,19814
01109,"Pike County, AL",2009,313,32560
01111,"Randolph County, AL",2009,266,22864
01113,"Russell County, AL",2009,564,52162
01115,"St. Clair County, AL",2009,750,83009
01117,"Shelby County, AL",2009,1139,192708
01119,"Sumter County, AL",2009,151,13746
01121,"Talladega County, AL",2009,941,82674
01123,"Tallapoosa County, AL",2009,517,41831
01125,"Tuscaloosa County, AL",2009,1605,192792
01127,"Walker County, AL",2009,909,67347
01129,"Washington County, AL",2009,208,17493
01131,"Wilcox County, AL",2009,125,11870
01133,"Winston County, AL",2009,294,24691
02013,"Aleutians East Borough, AK",2009,Suppressed,3084
02016,"Aleutians West Census Area, AK",2009,16,5537
02020,"Anchorage Borough, AK",2009,1371,287677
02050,"Bethel Census Area, AK",2009,95,16860
02060,"Bristol Bay Borough, AK",2009,Suppressed,976
02068,"Denali Borough, AK",2009,Suppressed,1817
02070,"Dillingham Census Area, AK",2009,28,4776
02090,"Fairbanks North Star Borough, AK",2009,419,95238
02100,"Haines Borough, AK",2009,18,2486
02105,"Hoonah-Angoon Census Area, AK",2009,Missing,Missing
02110,"Juneau Borough, AK",2009,144,30857
02122,"Kenai Peninsula Borough, AK",2009,401,54796
02130,"Ketchikan Gateway Borough, AK",2009,95,13294
02150,"Kodiak Island Borough, AK",2009,62,13505
02164,"Lake and Peninsula Borough, AK",2009,14,1612
02170,"Matanuska-Susitna Borough, AK",2009,410,86885
02180,"Nome Census Area, AK",2009,76,9313
02185,"North Slope Borough, AK",2009,49,9105
02188,"Northwest Arctic Borough, AK",2009,49,7467
02195,"Petersburg Borough/Census Area, AK",2009,Missing,Missing
02198,"Prince of Wales-Hyder Census Area, AK",2009,Missing,Missing
02201,"Prince of Wales-Outer Ketchikan Census Area, AK",2009,30,5465
02220,"Sitka Borough, AK",2009,48,8844
02230,"Skagway Municipality, AK",2009,Missing,Missing
02232,"Skagway-Hoonah-Angoon Census Area, AK",2009,24,3119
02240,"Southeast Fairbanks Census Area, AK",2009,45,6955
02261,"Valdez-Cordova Census Area, AK",2009,53,9492
02270,"Wade Hampton Census Area, AK",2009,58,7469
02275,"Wrangell City and Borough, AK",2009,Missing,Missing
02280,"Wrangell-Petersburg Census Area, AK",2009,50,6106
02282,"Yakutat Borough, AK",2009,Suppressed,665
02290,"Yukon-Koyukuk Census Area, AK",2009,45,5495
04001,"Apache County, AZ",2009,545,71008
04003,"Cochise County, AZ",2009,1130,130081
04005,"Coconino County, AZ",2009,706,133477
04007,"Gila County, AZ",2009,643,53561
04009,"Graham County, AZ",2009,266,37525
04011,"Greenlee County, AZ",2009,52,8635
04012,"La Paz County, AZ",2009,246,20514
04013,"Maricopa County, AZ",2009,24722,3803779
04015,"Mohave County, AZ",2009,2502,199696
04017,"Navajo County, AZ",2009,807,107571
04019,"Pima County, AZ",2009,8232,975580
04021,"Pinal County, AZ",2009,2019,349830
04023,"Santa Cruz County, AZ",2009,292,47011
04025,"Yavapai County, AZ",2009,2318,211172
04027,"Yuma County, AZ",2009,1336,193714
05001,"Arkansas County, AR",2009,226,19134
05003,"Ashley County, AR",2009,245,21920
05005,"Baxter County, AR",2009,665,41561
05007,"Benton County, AR",2009,1476,216620
05009,"Boone County, AR",2009,429,36844
05011,"Bradley County, AR",2009,153,11538
05013,"Calhoun County, AR",2009,63,5421
05015,"Carroll County, AR",2009,270,27158
05017,"Chicot County, AR",2009,159,11851
05019,"Clark County, AR",2009,251,23100
05021,"Clay County, AR",2009,220,16056
05023,"Cleburne County, AR",2009,354,25870
05025,"Cleveland County, AR",2009,85,8649
05027,"Columbia County, AR",2009,300,24622
05029,"Conway County, AR",2009,208,21257
05031,"Craighead County, AR",2009,835,95482
05033,"Crawford County, AR",2009,559,61595
05035,"Crittenden County, AR",2009,477,50929
05037,"Cross County, AR",2009,204,17971
05039,"Dallas County, AR",2009,94,8188
05041,"Desha County, AR",2009,172,13108
05043,"Drew County, AR",2009,184,18495
05045,"Faulkner County, AR",2009,745,110813
05047,"Franklin County, AR",2009,187,18145
05049,"Fulton County, AR",2009,191,12231
05051,"Garland County, AR",2009,1251,95840
05053,"Grant County, AR",2009,152,17751
05055,"Greene County, AR",2009,447,41723
05057,"Hempstead County, AR",2009,234,22615
05059,"Hot Spring County, AR",2009,345,32797
05061,"Howard County, AR",2009,165,13741
05063,"Independence County, AR",2009,399,36259
05065,"Izard County, AR",2009,173,13679
05067,"Jackson County, AR",2009,232,17945
05069,"Jefferson County, AR",2009,840,77759
05071,"Johnson County, AR",2009,240,25374
05073,"Lafayette County, AR",2009,105,7654
05075,"Lawrence County, AR",2009,263,17336
05077,"Lee County, AR",2009,120,10458
05079,"Lincoln County, AR",2009,153,14185
05081,"Little River County, AR",2009,184,13228
05083,"Logan County, AR",2009,290,22429
05085,"Lonoke County, AR",2009,567,67481
05087,"Madison County, AR",2009,128,15673
05089,"Marion County, AR",2009,244,16721
05091,"Miller County, AR",2009,423,43284
05093,"Mississippi County, AR",2009,509,46857
05095,"Monroe County, AR",2009,119,8286
05097,"Montgomery County, AR",2009,136,9490
05099,"Nevada County, AR",2009,117,9058
05101,"Newton County, AR",2009,106,8311
05103,"Ouachita County, AR",2009,347,26024
05105,"Perry County, AR",2009,126,10443
05107,"Phillips County, AR",2009,278,21976
05109,"Pike County, AR",2009,143,11260
05111,"Poinsett County, AR",2009,337,24632
05113,"Polk County, AR",2009,264,20583
05115,"Pope County, AR",2009,518,61302
05117,"Prairie County, AR",2009,118,8754
05119,"Pulaski County, AR",2009,3314,380053
05121,"Randolph County, AR",2009,246,17964
05123,"St. Francis County, AR",2009,291,28336
05125,"Saline County, AR",2009,869,105362
05127,"Scott County, AR",2009,115,11097
05129,"Searcy County, AR",2009,110,8190
05131,"Sebastian County, AR",2009,1156,125116
05133,"Sevier County, AR",2009,158,16812
05135,"Sharp County, AR",2009,228,17373
05137,"Stone County, AR",2009,148,12340
05139,"Union County, AR",2009,567,41944
05141,"Van Buren County, AR",2009,242,17293
05143,"Washington County, AR",2009,1306,199774
05145,"White County, AR",2009,763,76284
05147,"Woodruff County, AR",2009,104,7294
05149,"Yell County, AR",2009,231,22145
06001,"Alameda County, CA",2009,8903,1498539
06003,"Alpine County, CA",2009,Suppressed,1197
06005,"Amador County, CA",2009,404,38238
06007,"Butte County, CA",2009,2230,219777
06009,"Calaveras County, CA",2009,491,45900
06011,"Colusa County, CA",2009,124,21250
06013,"Contra Costa County, CA",2009,6988,1037890
06015,"Del Norte County, CA",2009,257,28599
06017,"El Dorado County, CA",2009,1340,180455
06019,"Fresno County, CA",2009,6102,921478
06021,"Glenn County, CA",2009,221,28100
06023,"Humboldt County, CA",2009,1229,133744
06025,"Imperial County, CA",2009,874,172008
06027,"Inyo County, CA",2009,202,18544
06029,"Kern County, CA",2009,5267,830137
06031,"Kings County, CA",2009,797,152278
06033,"Lake County, CA",2009,788,64413
06035,"Lassen County, CA",2009,235,35160
06037,"Los Angeles County, CA",2009,57910,9787400
06039,"Madera County, CA",2009,917,149234
06041,"Marin County, CA",2009,1704,250862
06043,"Mariposa County, CA",2009,160,18212
06045,"Mendocino County, CA",2009,805,87722
06047,"Merced County, CA",2009,1502,252302
06049,"Modoc County, CA",2009,120,9646
06051,"Mono County, CA",2009,42,14008
06053,"Monterey County, CA",2009,2263,410263
06055,"Napa County, CA",2009,1229,135280
06057,"Nevada County, CA",2009,841,98591
06059,"Orange County, CA",2009,16984,2987177
06061,"Placer County, CA",2009,2529,343810
06063,"Plumas County, CA",2009,219,20169
06065,"Riverside County, CA",2009,13842,2146725
06067,"Sacramento County, CA",2009,9815,1408601
06069,"San Benito County, CA",2009,272,54436
