County_Code,County_Name,Year,Deaths,Population
01001,"Autauga County, AL",1975,196,29608
01003,"Baldwin County, AL",1975,622,67823
01005,"Barbour County, AL",1975,258,24863
01007,"Bibb County, AL",1975,169,14761
01009,"Blount County, AL",1975,273,32084
01011,"Bullock County, AL",1975,141,11171
01013,"Butler County, AL",1975,251,21207
01015,"Calhoun County, AL",1975,963,107092
01017,"Chambers County, AL",1975,419,37548
01019,"Cherokee County, AL",1975,182,18006
01021,"Chilton County, AL",1975,319,28525
01023,"Choctaw County, AL",1975,145,17236
01025,"Clarke County, AL",1975,260,27412
01027,"Clay County, AL",1975,148,13100
01029,"Cleburne County, AL",1975,108,11953
01031,"Coffee County, AL",1975,321,36383
01033,"Colbert County, AL",1975,490,52011
01035,"Conecuh County, AL",1975,200,15756
01037,"Coosa County, AL",1975,109,11408
01039,"Covington County, AL",1975,448,36166
01041,"Crenshaw County, AL",1975,182,13810
01043,"Cullman County, AL",1975,516,58073
01045,"Dale County, AL",1975,321,46030
01047,"Dallas County, AL",1975,557,58584
01049,"DeKalb County, AL",1975,488,49946
01051,"Elmore County, AL",1975,339,39692
01053,"Escambia County, AL",1975,357,38433
01055,"Etowah County, AL",1975,1008,97858
01057,"Fayette County, AL",1975,185,17316
01059,"Franklin County, AL",1975,289,26776
01061,"Geneva County, AL",1975,228,23198
01063,"Greene County, AL",1975,142,10765
01065,"Hale County, AL",1975,186,15709
01067,"Henry County, AL",1975,165,14282
01069,"Houston County, AL",1975,577,70518
01071,"Jackson County, AL",1975,434,47016
01073,"Jefferson County, AL",1975,6323,655486
01075,"Lamar County, AL",1975,158,15975
01077,"Lauderdale County, AL",1975,566,74211
01079,"Lawrence County, AL",1975,233,28572
01081,"Lee County, AL",1975,423,69310
01083,"Limestone County, AL",1975,369,43998
01085,"Lowndes County, AL",1975,129,13408
01087,"Macon County, AL",1975,280,26196
01089,"Madison County, AL",1975,1124,187877
01091,"Marengo County, AL",1975,265,24619
01093,"Marion County, AL",1975,282,28403
01095,"Marshall County, AL",1975,580,60947
01097,"Mobile County, AL",1975,2805,335777
01099,"Monroe County, AL",1975,222,20973
01101,"Montgomery County, AL",1975,1681,183067
01103,"Morgan County, AL",1975,680,85361
01105,"Perry County, AL",1975,158,14515
01107,"Pickens County, AL",1975,215,21472
01109,"Pike County, AL",1975,277,26348
01111,"Randolph County, AL",1975,216,19306
01113,"Russell County, AL",1975,478,47371
01115,"St. Clair County, AL",1975,316,34726
01117,"Shelby County, AL",1975,370,51656
01119,"Sumter County, AL",1975,179,16865
01121,"Talladega County, AL",1975,631,68939
01123,"Tallapoosa County, AL",1975,408,37002
01125,"Tuscaloosa County, AL",1975,1080,127108
01127,"Walker County, AL",1975,682,65689
01129,"Washington County, AL",1975,141,16822
01131,"Wilcox County, AL",1975,162,14796
01133,"Winston County, AL",1975,229,20314
02900,"Entire State, AK",1975,1529,371084
04001,"Apache County, AZ",1975,317,43254
04003,"Cochise County, AZ",1975,511,76995
04005,"Coconino County, AZ",1975,278,69877
04007,"Gila County, AZ",1975,284,32576
04009,"Graham County, AZ",1975,176,19754
04011,"Greenlee County, AZ",1975,74,12157
04013,"Maricopa County, AZ",1975,9157,1253537
04015,"Mohave County, AZ",1975,409,39402
04017,"Navajo County, AZ",1975,356,58942
04019,"Pima County, AZ",1975,3519,459572
04021,"Pinal County, AZ",1975,575,83802
04023,"Santa Cruz County, AZ",1975,120,17129
04025,"Yavapai County, AZ",1975,641,50174
04027,"Yuma County, AZ",1975,563,69804
05001,"Arkansas County, AR",1975,294,23894
05003,"Ashley County, AR",1975,265,25828
05005,"Baxter County, AR",1975,300,22753
05007,"Benton County, AR",1975,664,63139
05009,"Boone County, AR",1975,279,22780
05011,"Bradley County, AR",1975,200,13234
05013,"Calhoun County, AR",1975,62,5875
05015,"Carroll County, AR",1975,169,14562
05017,"Chicot County, AR",1975,190,18057
05019,"Clark County, AR",1975,222,22906
05021,"Clay County, AR",1975,266,20607
05023,"Cleburne County, AR",1975,146,14616
05025,"Cleveland County, AR",1975,79,7161
05027,"Columbia County, AR",1975,296,25967
05029,"Conway County, AR",1975,189,18393
05031,"Craighead County, AR",1975,548,58743
05033,"Crawford County, AR",1975,276,30814
05035,"Crittenden County, AR",1975,491,49391
05037,"Cross County, AR",1975,192,20776
05039,"Dallas County, AR",1975,130,10395
05041,"Desha County, AR",1975,206,18624
05043,"Drew County, AR",1975,154,16514
05045,"Faulkner County, AR",1975,300,39011
05047,"Franklin County, AR",1975,146,13396
05049,"Fulton County, AR",1975,126,9338
05051,"Garland County, AR",1975,913,64061
05053,"Grant County, AR",1975,104,12006
05055,"Greene County, AR",1975,262,28419
05057,"Hempstead County, AR",1975,237,21335
05059,"Hot Spring County, AR",1975,235,25375
05061,"Howard County, AR",1975,153,12993
05063,"Independence County, AR",1975,304,24790
05065,"Izard County, AR",1975,115,9718
05067,"Jackson County, AR",1975,223,21502
05069,"Jefferson County, AR",1975,821,84939
05071,"Johnson County, AR",1975,210,15697
05073,"Lafayette County, AR",1975,127,9963
05075,"Lawrence County, AR",1975,223,18042
05077,"Lee County, AR",1975,198,17103
05079,"Lincoln County, AR",1975,124,13305
05081,"Little River County, AR",1975,110,12685
05083,"Logan County, AR",1975,217,19131
05085,"Lonoke County, AR",1975,295,30858
05087,"Madison County, AR",1975,125,10244
05089,"Marion County, AR",1975,118,9257
05091,"Miller County, AR",1975,342,36272
05093,"Mississippi County, AR",1975,660,62672
05095,"Monroe County, AR",1975,183,14675
05097,"Montgomery County, AR",1975,94,7108
05099,"Nevada County, AR",1975,164,10629
05101,"Newton County, AR",1975,69,6943
05103,"Ouachita County, AR",1975,362,30376
05105,"Perry County, AR",1975,66,6814
05107,"Phillips County, AR",1975,469,37803
05109,"Pike County, AR",1975,105,9770
05111,"Poinsett County, AR",1975,294,27629
05113,"Polk County, AR",1975,192,15839
05115,"Pope County, AR",1975,307,34753
05117,"Prairie County, AR",1975,110,10796
05119,"Pulaski County, AR",1975,2703,321279
05121,"Randolph County, AR",1975,179,15859
05123,"St. Francis County, AR",1975,340,31228
05125,"Saline County, AR",1975,304,44977
05127,"Scott County, AR",1975,112,9539
05129,"Searcy County, AR",1975,83,8499
05131,"Sebastian County, AR",1975,781,112527
05133,"Sevier County, AR",1975,151,13191
05135,"Sharp County, AR",1975,135,11355
05137,"Stone County, AR",1975,87,7914
05139,"Union County, AR",1975,561,46518
05141,"Van Buren County, AR",1975,101,10702
05143,"Washington County, AR",1975,679,89493
05145,"White County, AR",1975,429,46398
05147,"Woodruff County, AR",1975,134,11041
05149,"Yell County, AR",1975,200,17275
06001,"Alameda County, CA",1975,9015,1090903
06003,"Alpine County, CA",1975,4,788
06005,"Amador County, CA",1975,144,15056
06007,"Butte County, CA",1975,1241,121687
06009,"Calaveras County, CA",1975,170,15190
06011,"Colusa County, CA",1975,123,12640
06013,"Contra Costa County, CA",1975,4129,588669
06015,"Del Norte County, CA",1975,178,16060
06017,"El Dorado County, CA",1975,441,58478
06019,"Fresno County, CA",1975,3682,464621
06021,"Glenn County, CA",1975,200,19175
06023,"Humboldt County, CA",1975,898,104217
06025,"Imperial County, CA",1975,612,83219
06027,"Inyo County, CA",1975,197,16916
06029,"Kern County, CA",1975,2900,357268
06031,"Kings County, CA",1975,523,70819
06033,"Lake County, CA",1975,457,25639
06035,"Lassen County, CA",1975,157,18586
06037,"Los Angeles County, CA",1975,59368,7126723
06039,"Madera County, CA",1975,472,47975
06041,"Marin County, CA",1975,1462,216690
06043,"Mariposa County, CA",1975,84,8295
06045,"Mendocino County, CA",1975,571,57347
06047,"Merced County, CA",1975,803,121540
06049,"Modoc County, CA",1975,75,7872
06051,"Mono County, CA",1975,28,7109
06053,"Monterey County, CA",1975,1902,271348
06055,"Napa County, CA",1975,841,93511
06057,"Nevada County, CA",1975,418,34622
06059,"Orange County, CA",1975,10445,1725397
06061,"Placer County, CA",1975,833,90895
06063,"Plumas County, CA",1975,118,14008
06065,"Riverside County, CA",1975,5154,529027
06067,"Sacramento County, CA",1975,5187,697343
06069,"San Benito County, CA",1975,169,20915
06071,"San Bernardino County, CA",1975,5782,719875
06073,"San Diego County, CA",1975,11434,1617373
06075,"San Francisco County, CA",1975,8216,686880
06077,"San Joaquin County, CA",1975,2822,309749
06079,"San Luis Obispo County, CA",1975,1136,126532
06081,"San Mateo County, CA",1975,4226,575268
06083,"Santa Barbara County, CA",1975,2116,282677
06085,"Santa Clara County, CA",1975,6848,1192332
06087,"Santa Cruz County, CA",1975,1610,158808
06089,"Shasta County, CA",1975,790,92009
06091,"Sierra County, CA",1975,27,2695
06093,"Siskiyou County, CA",1975,393,34964
06095,"Solano County, CA",1975,1268,191674
06097,"Sonoma County, CA",1975,2368,252900
06099,"Stanislaus County, CA",1975,1987,229623
06101,"Sutter County, CA",1975,381,47421
06103,"Tehama County, CA",1975,333,32305
06105,"Trinity County, CA",1975,81,9551
06107,"Tulare County, CA",1975,1807,213294
06109,"Tuolumne County, CA",1975,280,26009
06111,"Ventura County, CA",1975,2658,448700
06113,"Yolo County, CA",1975,761,102238
06115,"Yuba County, CA",1975,362,45539
08001,"Adams County, CO",1975,1081,218915
08003,"Alamosa County, CO",1975,71,12255
08005,"Arapahoe County, CO",1975,1004,219932
08007,"Archuleta County, CO",1975,28,2980
08009,"Baca County, CO",1975,56,5702
08011,"Bent County, CO",1975,63,6392
08013,"Boulder County, CO",1975,784,166422
08015,"Chaffee County, CO",1975,106,12119
08017,"Cheyenne County, CO",1975,23,2260
08019,"Clear Creek County, CO",1975,28,6098
08021,"Conejos County, CO",1975,67,8102
08023,"Costilla County, CO",1975,28,3157
08025,"Crowley County, CO",1975,35,3340
08027,"Custer County, CO",1975,16,1137
08029,"Delta County, CO",1975,217,17621
08031,"Denver County, CO",1975,4600,500817
08033,"Dolores County, CO",1975,17,1592
08035,"Douglas County, CO",1975,63,14723
08037,"Eagle County, CO",1975,48,10700
