County_Code,County_Name,Year,Deaths,Population
01001,"Autauga County, AL",2019,545,55869
01003,"Baldwin County, AL",2019,2283,223234
01005,"Barbour County, AL",2019,334,24686
01007,"Bibb County, AL",2019,264,22394
01009,"Blount County, AL",2019,718,57826
01011,"Bullock County, AL",2019,118,10101
01013,"Butler County, AL",2019,244,19448
01015,"Calhoun County, AL",2019,1414,113605
01017,"Chambers County, AL",2019,425,33254
01019,"Cherokee County, AL",2019,383,26196
01021,"Chilton County, AL",2019,494,44428
01023,"Choctaw County, AL",2019,183,12589
01025,"Clarke County, AL",2019,352,23622
01027,"Clay County, AL",2019,191,13235
01029,"Cleburne County, AL",2019,211,14910
01031,"Coffee County, AL",2019,568,52342
01033,"Colbert County, AL",2019,759,55241
01035,"Conecuh County, AL",2019,204,12067
01037,"Coosa County, AL",2019,138,10663
01039,"Covington County, AL",2019,552,37049
01041,"Crenshaw County, AL",2019,193,13772
01043,"Cullman County, AL",2019,1092,83768
01045,"Dale County, AL",2019,551,49172
01047,"Dallas County, AL",2019,461,37196
01049,"DeKalb County, AL",2019,845,71513
01051,"Elmore County, AL",2019,803,81209
01053,"Escambia County, AL",2019,478,36633
01055,"Etowah County, AL",2019,1396,102268
01057,"Fayette County, AL",2019,217,16302
01059,"Franklin County, AL",2019,381,31362
01061,"Geneva County, AL",2019,354,26271
01063,"Greene County, AL",2019,92,8111
01065,"Hale County, AL",2019,219,14651
01067,"Henry County, AL",2019,223,17205
01069,"Houston County, AL",2019,1162,105882
01071,"Jackson County, AL",2019,728,51626
01073,"Jefferson County, AL",2019,7237,658573
01075,"Lamar County, AL",2019,196,13805
01077,"Lauderdale County, AL",2019,1135,92729
01079,"Lawrence County, AL",2019,422,32924
01081,"Lee County, AL",2019,1219,164542
01083,"Limestone County, AL",2019,856,98915
01085,"Lowndes County, AL",2019,146,9726
01087,"Macon County, AL",2019,263,18068
01089,"Madison County, AL",2019,3360,372909
01091,"Marengo County, AL",2019,272,18863
01093,"Marion County, AL",2019,443,29709
01095,"Marshall County, AL",2019,1129,96774
01097,"Mobile County, AL",2019,4574,413210
01099,"Monroe County, AL",2019,247,20733
01101,"Montgomery County, AL",2019,2124,226486
01103,"Morgan County, AL",2019,1458,119679
01105,"Perry County, AL",2019,126,8923
01107,"Pickens County, AL",2019,291,19930
01109,"Pike County, AL",2019,334,33114
01111,"Randolph County, AL",2019,301,22722
01113,"Russell County, AL",2019,635,57961
01115,"St. Clair County, AL",2019,965,89512
01117,"Shelby County, AL",2019,1635,217702
01119,"Sumter County, AL",2019,166,12427
01121,"Talladega County, AL",2019,1001,79978
01123,"Tallapoosa County, AL",2019,595,40367
01125,"Tuscaloosa County, AL",2019,1738,209355
01127,"Walker County, AL",2019,993,63521
01129,"Washington County, AL",2019,205,16326
01131,"Wilcox County, AL",2019,150,10373
01133,"Winston County, AL",2019,317,23629
02013,"Aleutians East Borough, AK",2019,Suppressed,3337
02016,"Aleutians West Census Area, AK",2019,13,5634
02020,"Anchorage Borough, AK",2019,1840,288000
02050,"Bethel Census Area, AK",2019,130,18386
02060,"Bristol Bay Borough, AK",2019,Suppressed,836
02068,"Denali Borough, AK",2019,Suppressed,2097
02070,"Dillingham Census Area, AK",2019,48,4916
02090,"Fairbanks North Star Borough, AK",2019,472,96849
02100,"Haines Borough, AK",2019,10,2530
02105,"Hoonah-Angoon Census Area, AK",2019,15,2148
02110,"Juneau Borough, AK",2019,189,31974
02122,"Kenai Peninsula Borough, AK",2019,437,58708
02130,"Ketchikan Gateway Borough, AK",2019,108,13901
02150,"Kodiak Island Borough, AK",2019,71,12998
02164,"Lake and Peninsula Borough, AK",2019,12,1592
02170,"Matanuska-Susitna Borough, AK",2019,651,108317
02180,"Nome Census Area, AK",2019,84,10004
02185,"North Slope Borough, AK",2019,55,9832
02188,"Northwest Arctic Borough, AK",2019,58,7621
02195,"Petersburg Borough/Census Area, AK",2019,26,3266
02198,"Prince of Wales-Hyder Census Area, AK",2019,55,6203
02220,"Sitka Borough, AK",2019,53,8493
02230,"Skagway Municipality, AK",2019,Suppressed,1183
02240,"Southeast Fairbanks Census Area, AK",2019,55,6893
02261,"Valdez-Cordova Census Area, AK",2019,67,9202
02270,"Wade Hampton Census Area, AK",2019,67,8314
02275,"Wrangell City and Borough, AK",2019,19,2502
02282,"Yakutat Borough, AK",2019,Suppressed,579
02290,"Yukon-Koyukuk Census Area, AK",2019,48,5230
04001,"Apache County, AZ",2019,741,71887
04003,"Cochise County, AZ",2019,1406,125922
04005,"Coconino County, AZ",2019,859,143476
04007,"Gila County, AZ",2019,818,54018
04009,"Graham County, AZ",2019,287,38837
04011,"Greenlee County, AZ",2019,67,9498
04012,"La Paz County, AZ",2019,309,21108
04013,"Maricopa County, AZ",2019,32792,4485414
04015,"Mohave County, AZ",2019,3375,212181
04017,"Navajo County, AZ",2019,1203,110924
04019,"Pima County, AZ",2019,9991,1047279
04021,"Pinal County, AZ",2019,3338,462789
04023,"Santa Cruz County, AZ",2019,335,46498
04025,"Yavapai County, AZ",2019,3075,235099
