County_Code,County_Name,Year,Deaths,Population
01001,"Autauga County, AL",2021,709,59095
01003,"Baldwin County, AL",2021,3098,239294
01005,"Barbour County, AL",2021,373,24964
01007,"Bibb County, AL",2021,339,22477
01009,"Blount County, AL",2021,841,59041
01011,"Bullock County, AL",2021,141,10320
01013,"Butler County, AL",2021,309,18884
01015,"Calhoun County, AL",2021,1867,115972
01017,"Chambers County, AL",2021,577,34541
01019,"Cherokee County, AL",2021,471,24996
01021,"Chilton County, AL",2021,653,45274
01023,"Choctaw County, AL",2021,210,12533
01025,"Clarke County, AL",2021,388,22760
01027,"Clay County, AL",2021,236,14190
01029,"Cleburne County, AL",2021,262,15103
01031,"Coffee County, AL",2021,716,54174
01033,"Colbert County, AL",2021,886,57474
01035,"Conecuh County, AL",2021,224,11328
01037,"Coosa County, AL",2021,184,10450
01039,"Covington County, AL",2021,724,37524
01041,"Crenshaw County, AL",2021,241,13083
01043,"Cullman County, AL",2021,1308,89496
01045,"Dale County, AL",2021,737,49342
01047,"Dallas County, AL",2021,678,37619
01049,"DeKalb County, AL",2021,1120,71813
01051,"Elmore County, AL",2021,1088,89304
01053,"Escambia County, AL",2021,662,36699
01055,"Etowah County, AL",2021,1826,103162
01057,"Fayette County, AL",2021,316,16148
01059,"Franklin County, AL",2021,491,32013
01061,"Geneva County, AL",2021,527,26701
01063,"Greene County, AL",2021,137,7629
01065,"Hale County, AL",2021,262,14754
01067,"Henry County, AL",2021,271,17459
01069,"Houston County, AL",2021,1603,107458
01071,"Jackson County, AL",2021,986,52773
01073,"Jefferson County, AL",2021,9022,667820
01075,"Lamar County, AL",2021,242,13689
01077,"Lauderdale County, AL",2021,1306,94043
01079,"Lawrence County, AL",2021,583,33090
01081,"Lee County, AL",2021,1444,177218
01083,"Limestone County, AL",2021,1151,107517
01085,"Lowndes County, AL",2021,184,9965
01087,"Macon County, AL",2021,246,18895
01089,"Madison County, AL",2021,4095,395211
01091,"Marengo County, AL",2021,351,18996
01093,"Marion County, AL",2021,512,29246
01095,"Marshall County, AL",2021,1424,98228
01097,"Mobile County, AL",2021,5837,413073
01099,"Monroe County, AL",2021,374,19648
01101,"Montgomery County, AL",2021,2781,227434
01103,"Morgan County, AL",2021,1693,123668
01105,"Perry County, AL",2021,160,8355
01107,"Pickens County, AL",2021,340,18801
01109,"Pike County, AL",2021,457,32991
01111,"Randolph County, AL",2021,357,21989
01113,"Russell County, AL",2021,857,58722
01115,"St. Clair County, AL",2021,1312,92748
