County_Code,County_Name,Year,Deaths,Population
01001,"Autauga County, AL",1999,361,42963
01003,"Baldwin County, AL",1999,1290,137555
01005,"Barbour County, AL",1999,290,28866
01007,"Bibb County, AL",1999,219,20560
01009,"Blount County, AL",1999,451,50237
01011,"Bullock County, AL",1999,143,11755
01013,"Butler County, AL",1999,305,21605
01015,"Calhoun County, AL",1999,1234,114910
01017,"Chambers County, AL",1999,491,36527
01019,"Cherokee County, AL",1999,287,23605
01021,"Chilton County, AL",1999,411,38862
01023,"Choctaw County, AL",1999,161,15931
01025,"Clarke County, AL",1999,300,27919
01027,"Clay County, AL",1999,180,14174
01029,"Cleburne County, AL",1999,147,14039
01031,"Coffee County, AL",1999,386,43667
01033,"Colbert County, AL",1999,607,54715
01035,"Conecuh County, AL",1999,207,14158
01037,"Coosa County, AL",1999,140,12135
01039,"Covington County, AL",1999,514,37843
01041,"Crenshaw County, AL",1999,177,13584
01043,"Cullman County, AL",1999,816,77065
01045,"Dale County, AL",1999,438,49118
01047,"Dallas County, AL",1999,561,46722
01049,"DeKalb County, AL",1999,668,63593
01051,"Elmore County, AL",1999,605,64668
01053,"Escambia County, AL",1999,443,38336
01055,"Etowah County, AL",1999,1251,104002
01057,"Fayette County, AL",1999,227,18496
01059,"Franklin County, AL",1999,403,31163
01061,"Geneva County, AL",1999,313,25585
01063,"Greene County, AL",1999,121,10004
01065,"Hale County, AL",1999,208,16982
01067,"Henry County, AL",1999,199,16129
01069,"Houston County, AL",1999,859,88256
01071,"Jackson County, AL",1999,543,53433
01073,"Jefferson County, AL",1999,7425,662845
01075,"Lamar County, AL",1999,174,15889
01077,"Lauderdale County, AL",1999,842,87590
01079,"Lawrence County, AL",1999,335,34537
01081,"Lee County, AL",1999,706,112898
01083,"Limestone County, AL",1999,539,64880
01085,"Lowndes County, AL",1999,130,13361
01087,"Macon County, AL",1999,258,24085
01089,"Madison County, AL",1999,2023,274692
01091,"Marengo County, AL",1999,271,22519
01093,"Marion County, AL",1999,389,31264
01095,"Marshall County, AL",1999,923,81992
01097,"Mobile County, AL",1999,3862,399323
01099,"Monroe County, AL",1999,264,24440
01101,"Montgomery County, AL",1999,2107,223548
01103,"Morgan County, AL",1999,1025,110670
01105,"Perry County, AL",1999,150,12001
01107,"Pickens County, AL",1999,235,21036
01109,"Pike County, AL",1999,314,29469
01111,"Randolph County, AL",1999,274,22072
01113,"Russell County, AL",1999,554,49982
01115,"St. Clair County, AL",1999,592,63650
01117,"Shelby County, AL",1999,850,140502
01119,"Sumter County, AL",1999,187,14976
01121,"Talladega County, AL",1999,887,79971
01123,"Tallapoosa County, AL",1999,517,41649
