State_Code,State_Name,Year,Deaths,Population
01,Alabama,1981,35412,3920097
02,Alaska,1981,1723,420161
04,Arizona,1981,21358,2816864
05,Arkansas,1981,22372,2293696
06,California,1981,184987,24344273
08,Colorado,1981,19388,2983957
09,Connecticut,1981,26768,3131032
10,Delaware,1981,5073,596658
11,District of Columbia,1981,6954,638852
12,Florida,1981,109127,10208144
13,Georgia,1981,44892,5572350
15,Hawaii,1981,4991,980258
16,Idaho,1981,6929,962481
17,Illinois,1981,101819,11455471
18,Indiana,1981,47309,5480835
19,Iowa,1981,26949,2908684
20,Kansas,1981,21701,2388484
21,Kentucky,1981,33283,3670577
22,Louisiana,1981,36024,4290182
23,Maine,1981,10387,1133551
24,Maryland,1981,33949,4266825
25,Massachusetts,1981,52982,5773757
26,Michigan,1981,75842,9211052
27,Minnesota,1981,32837,4116561
28,Mississippi,1981,23460,2541298
29,Missouri,1981,48848,4936035
30,Montana,1981,6729,796224
31,Nebraska,1981,14616,1580405
32,Nevada,1981,5884,849258
33,New Hampshire,1981,7701,937237
34,New Jersey,1981,67280,7410794
35,New Mexico,1981,8678,1335253
36,New York,1981,168184,17580612
37,North Carolina,1981,49236,5958396
38,North Dakota,1981,5452,660558
39,Ohio,1981,96487,10795737
40,Oklahoma,1981,28617,3101005
41,Oregon,1981,21843,2669849
42,Pennsylvania,1981,120089,11866773
44,Rhode Island,1981,9174,953757
45,South Carolina,1981,25428,3182070
46,South Dakota,1981,6451,690361
47,Tennessee,1981,40509,4628211
48,Texas,1981,110548,14779030
49,Utah,1981,8343,1516752
50,Vermont,1981,4322,516116
51,Virginia,1981,42237,5449172
53,Washington,1981,32031,4240915
54,West Virginia,1981,19053,1952950
55,Wisconsin,1981,40560,4729678
56,Wyoming,1981,3165,492753
US,US,1981,1977981,229716001
