State_Code,State_Name,Year,Deaths,Population
01,Alabama,2009,47470,4757938
02,Alaska,2009,3618,698895
04,Arizona,2009,45816,6343154
05,Arkansas,2009,28673,2896843
06,California,2009,232736,36961229
08,Colorado,2009,31173,4972195
09,Connecticut,2009,28585,3561807
10,Delaware,2009,7534,891730
11,District of Columbia,2009,4834,592228
12,Florida,2009,169924,18652644
13,Georgia,2009,69712,9620846
15,Hawaii,2009,9914,1346717
16,Idaho,2009,11098,1554439
17,Illinois,2009,100056,12796778
18,Indiana,2009,55973,6459325
19,Iowa,2009,27544,3032870
20,Kansas,2009,24024,2832704
21,Kentucky,2009,41380,4317074
22,Louisiana,2009,40282,4491648
23,Maine,2009,12594,1329590
24,Maryland,2009,43843,5730388
25,Massachusetts,2009,52308,6517613
26,Michigan,2009,86455,9901591
27,Minnesota,2009,37851,5281203
28,Mississippi,2009,28275,2958774
29,Missouri,2009,54263,5961088
30,Montana,2009,8730,983982
31,Nebraska,2009,14810,1812683
32,Nevada,2009,19224,2684665
33,New Hampshire,2009,10100,1316102
34,New Jersey,2009,68277,8755602
35,New Mexico,2009,15643,2036802
36,New York,2009,146475,19307066
37,North Carolina,2009,77117,9449566
38,North Dakota,2009,5914,664968
39,Ohio,2009,107156,11528896
40,Oklahoma,2009,35601,3717572
41,Oregon,2009,31636,3808600
42,Pennsylvania,2009,124780,12666858
44,Rhode Island,2009,9395,1053646
45,South Carolina,2009,40449,4589872
46,South Dakota,2009,6923,807067
47,Tennessee,2009,58288,6306019
48,Texas,2009,163249,24801761
49,Utah,2009,14138,2723421
50,Vermont,2009,5034,624817
51,Virginia,2009,58653,7925937
53,Washington,2009,48270,6667426
54,West Virginia,2009,21386,1847775
55,Wisconsin,2009,45697,5669264
56,Wyoming,2009,4283,559851
US,US,2009,2437163,306771529
