State_Code,State_Name,Year,Deaths,Population
01,Alabama,1999,44806,4430141
02,Alaska,1999,2708,624779
04,Arizona,1999,40050,5023823
05,Arkansas,1999,27925,2651860
06,California,1999,229380,33499204
08,Colorado,1999,27114,4226018
09,Connecticut,1999,29446,3386401
10,Delaware,1999,6666,774990
11,District of Columbia,1999,6076,570213
12,Florida,1999,163224,15759421
13,Georgia,1999,62028,8045965
15,Hawaii,1999,8270,1210300
16,Idaho,1999,9579,1275674
17,Illinois,1999,108436,12359020
18,Indiana,1999,55303,6044969
19,Iowa,1999,28411,2917634
20,Kansas,1999,24472,2678338
21,Kentucky,1999,39321,4018053
22,Louisiana,1999,41238,4460811
23,Maine,1999,12261,1266808
24,Maryland,1999,43089,5254509
25,Massachusetts,1999,55840,6317345
26,Michigan,1999,87232,9897116
27,Minnesota,1999,38537,4873481
28,Mississippi,1999,28185,2828408
29,Missouri,1999,55931,5561948
30,Montana,1999,8128,897507
31,Nebraska,1999,15579,1704764
32,Nevada,1999,15082,1934718
33,New Hampshire,1999,9537,1222014
34,New Jersey,1999,73981,8359592
35,New Mexico,1999,13676,1808082
36,New York,1999,159927,18882725
37,North Carolina,1999,69600,7949361
38,North Dakota,1999,6103,644259
39,Ohio,1999,108517,11335454
40,Oklahoma,1999,34700,3437147
41,Oregon,1999,29422,3393941
42,Pennsylvania,1999,130283,12263805
44,Rhode Island,1999,9708,1040402
45,South Carolina,1999,36053,3974682
46,South Dakota,1999,6953,750412
47,Tennessee,1999,53765,5638706
48,Texas,1999,146858,20558220
49,Utah,1999,12058,2203482
50,Vermont,1999,4993,604683
51,Virginia,1999,55320,7000174
53,Washington,1999,43865,5842564
54,West Virginia,1999,21049,1811799
55,Wisconsin,1999,46672,5332666
56,Wyoming,1999,4042,491780
US,US,1999,2391399,279040168
