State_Code,State_Name,Year,Deaths,Population
01,Alabama,2024,58885,5157699
02,Alaska,2024,5523,740133
04,Arizona,2024,70469,7582384
05,Arkansas,2024,35976,3088354
06,California,2024,288143,39431263
08,Colorado,2024,44524,5957493
09,Connecticut,2024,32481,3675069
10,Delaware,2024,10681,1051917
11,District of Columbia,2024,4817,702250
12,Florida,2024,228400,23372215
13,Georgia,2024,96748,11180878
15,Hawaii,2024,12793,1446146
16,Idaho,2024,16758,2001619
17,Illinois,2024,112006,12710158
18,Indiana,2024,69509,6924275
19,Iowa,2024,32817,3241488
20,Kansas,2024,29192,2970606
21,Kentucky,2024,52387,4588372
22,Louisiana,2024,49183,4597740
23,Maine,2024,16595,1405012
24,Maryland,2024,53309,6263220
25,Massachusetts,2024,59972,7136171
26,Michigan,2024,102819,10140459
27,Minnesota,2024,49771,5793151
28,Mississippi,2024,35242,2943045
29,Missouri,2024,66642,6245466
30,Montana,2024,11543,1137233
31,Nebraska,2024,18271,2005465
32,Nevada,2024,29410,3267467
33,New Hampshire,2024,14001,1409032
34,New Jersey,2024,74876,9500851
35,New Mexico,2024,22013,2130256
36,New York,2024,159614,19867248
37,North Carolina,2024,106055,11046024
38,North Dakota,2024,6966,796568
39,Ohio,2024,126828,11883304
40,Oklahoma,2024,45056,4095393
41,Oregon,2024,42248,4272371
42,Pennsylvania,2024,135880,13078751
44,Rhode Island,2024,10287,1112308
45,South Carolina,2024,58235,5478831
46,South Dakota,2024,8794,924669
47,Tennessee,2024,79360,7227750
48,Texas,2024,229560,31290831
49,Utah,2024,21499,3503613
50,Vermont,2024,6706,648493
51,Virginia,2024,77311,8811195
53,Washington,2024,65664,7958180
54,West Virginia,2024,24268,1769979
55,Wisconsin,2024,56851,5960975
56,Wyoming,2024,5728,587618
US,US,2024,3072666,340110988
