State_Code,State_Name,Year,Deaths,Population
01,Alabama,1989,39006,4034980
02,Alaska,1989,Missing,Missing
04,Arizona,1989,28212,3629959
05,Arkansas,1989,24647,2348699
06,California,1989,216619,29309226
08,Colorado,1989,21144,3276660
09,Connecticut,1989,28243,3287127
10,Delaware,1989,5843,659194
11,District of Columbia,1989,7649,628088
12,Florida,1989,132765,12660706
13,Georgia,1989,52258,6421599
15,Hawaii,1989,6502,1096941
16,Idaho,1989,7468,994027
17,Illinois,1989,103366,11428341
18,Indiana,1989,49094,5527092
19,Iowa,1989,27195,2770681
20,Kansas,1989,22287,2473223
21,Kentucky,1989,35398,3680272
22,Louisiana,1989,37665,4255514
23,Maine,1989,11185,1220123
24,Maryland,1989,38353,4734189
25,Massachusetts,1989,53922,6024327
26,Michigan,1989,78861,9261707
27,Minnesota,1989,34307,4338139
28,Mississippi,1989,25386,2577300
29,Missouri,1989,50426,5099228
30,Montana,1989,6755,799006
31,Nebraska,1989,14800,1574764
32,Nevada,1989,8649,1139274
33,New Hampshire,1989,8472,1105559
34,New Jersey,1989,71455,7740291
35,New Mexico,1989,10572,1505199
36,New York,1989,171679,18020427
37,North Carolina,1989,57477,6575819
38,North Dakota,1989,5510,645879
39,Ohio,1989,98375,10834811
40,Oklahoma,1989,29816,3150823
41,Oregon,1989,24918,2791767
42,Pennsylvania,1989,123711,11874141
44,Rhode Island,1989,9557,1001925
45,South Carolina,1989,29618,3462182
46,South Dakota,1989,6549,696513
47,Tennessee,1989,45452,4860544
48,Texas,1989,124878,16832321
49,Utah,1989,9239,1706799
50,Vermont,1989,4586,557960
51,Virginia,1989,47172,6128424
53,Washington,1989,36163,4748909
54,West Virginia,1989,19558,1806822
55,Wisconsin,1989,42355,4855689
56,Wyoming,1989,3254,457896
US,US,1989,2150466,247158528
