State_Code,State_Name,Year,Deaths,Population
01,Alabama,1995,42362,4298981
02,Alaska,1995,Missing,Missing
04,Arizona,1995,35342,4433841
05,Arkansas,1995,26702,2535835
06,California,1995,224213,31719735
08,Colorado,1995,25011,3827609
09,Connecticut,1995,29457,3324324
10,Delaware,1995,6282,730099
11,District of Columbia,1995,6896,582247
12,Florida,1995,153176,14544358
13,Georgia,1995,58387,7333169
15,Hawaii,1995,7633,1198027
16,Idaho,1995,8516,1177589
17,Illinois,1995,108469,12014530
18,Indiana,1995,53287,5852819
19,Iowa,1995,28021,2868091
20,Kansas,1995,23935,2602226
21,Kentucky,1995,37201,3887959
22,Louisiana,1995,39705,4380949
23,Maine,1995,11754,1243566
24,Maryland,1995,41842,5070237
25,Massachusetts,1995,55476,6141664
26,Michigan,1995,83661,9678159
27,Minnesota,1995,37507,4661111
28,Mississippi,1995,27026,2724100
29,Missouri,1995,54402,5379909
30,Montana,1995,7629,876886
31,Nebraska,1995,15267,1657690
32,Nevada,1995,12526,1581963
33,New Hampshire,1995,9227,1157515
34,New Jersey,1995,74087,8085139
35,New Mexico,1995,12545,1720613
36,New York,1995,168382,18534018
37,North Carolina,1995,64918,7347430
38,North Dakota,1995,5975,648019
39,Ohio,1995,105940,11205299
40,Oklahoma,1995,32853,3309855
41,Oregon,1995,28214,3185037
42,Pennsylvania,1995,127866,12201314
44,Rhode Island,1995,9657,1016502
45,South Carolina,1995,33527,3749504
46,South Dakota,1995,6915,738375
47,Tennessee,1995,51302,5328891
48,Texas,1995,137821,18967400
49,Utah,1995,10940,2014719
50,Vermont,1995,4951,588979
51,Virginia,1995,52940,6673422
53,Washington,1995,40788,5482492
54,West Virginia,1995,20238,1823956
55,Wisconsin,1995,45088,5190188
56,Wyoming,1995,3720,485188
US,US,1995,2312132,266386596
