State_Code,State_Name,Year,Deaths,Population
01,Alabama,1991,40063,4101607
02,Alaska,1991,Missing,Missing
04,Arizona,1991,29548,3789418
05,Arkansas,1991,25048,2384138
06,California,1991,215284,30482745
08,Colorado,1991,22588,3387824
09,Connecticut,1991,28029,3303749
10,Delaware,1991,5928,683489
11,District of Columbia,1991,7075,603671
12,Florida,1991,136293,13371703
13,Georgia,1991,52802,6655914
15,Hawaii,1991,6810,1137471
16,Idaho,1991,7719,1041649
17,Illinois,1991,104123,11576175
18,Indiana,1991,50148,5619615
19,Iowa,1991,27353,2798656
20,Kansas,1991,22505,2499627
21,Kentucky,1991,35346,3724483
22,Louisiana,1991,38283,4256824
23,Maine,1991,11226,1237484
24,Maryland,1991,38427,4868547
25,Massachusetts,1991,53075,6019893
26,Michigan,1991,79980,9405654
27,Minnesota,1991,35309,4442550
28,Mississippi,1991,25664,2601024
29,Missouri,1991,50885,5173480
30,Montana,1991,7014,809934
31,Nebraska,1991,14725,1596681
32,Nevada,1991,9963,1296406
33,New Hampshire,1991,8413,1110160
34,New Jersey,1991,70492,7817415
35,New Mexico,1991,11270,1555923
36,New York,1991,167549,18130655
37,North Carolina,1991,58880,6786010
38,North Dakota,1991,5576,636172
39,Ohio,1991,100190,10951104
40,Oklahoma,1991,30275,3176556
41,Oregon,1991,25015,2929085
42,Pennsylvania,1991,122657,11987818
44,Rhode Island,1991,9398,1010812
45,South Carolina,1991,29966,3572113
46,South Dakota,1991,6644,704009
47,Tennessee,1991,46309,4968973
48,Texas,1991,126795,17405312
49,Utah,1991,9651,1780280
50,Vermont,1991,4563,568691
51,Virginia,1991,49129,6303660
53,Washington,1991,37073,5026490
54,West Virginia,1991,19964,1799502
55,Wisconsin,1991,43137,4967147
56,Wyoming,1991,3159,459330
US,US,1991,2169518,253088068
