State_Code,State_Name,Year,Deaths,Population
01,Alabama,1998,43950,4408398
02,Alaska,1998,Missing,Missing
04,Arizona,1998,38300,4886250
05,Arkansas,1998,27510,2627564
06,California,1998,226954,33021362
08,Colorado,1998,26640,4118190
09,Connecticut,1998,29710,3366615
10,Delaware,1998,6578,763841
11,District of Columbia,1998,6054,566630
12,Florida,1998,158167,15496518
13,Georgia,1998,60428,7870311
15,Hawaii,1998,8091,1217209
16,Idaho,1998,9155,1252682
17,Illinois,1998,104480,12281911
18,Indiana,1998,53477,6001025
19,Iowa,1998,28362,2903589
20,Kansas,1998,24057,2661727
21,Kentucky,1998,37832,3987167
22,Louisiana,1998,40337,4443537
23,Maine,1998,12135,1259375
24,Maryland,1998,42059,5205894
25,Massachusetts,1998,55237,6275021
26,Michigan,1998,85160,9851606
27,Minnesota,1998,37195,4815103
28,Mississippi,1998,27847,2807091
29,Missouri,1998,55070,5524750
30,Montana,1998,7981,892677
31,Nebraska,1998,15198,1696464
32,Nevada,1998,14464,1854096
33,New Hampshire,1998,9495,1206114
34,New Jersey,1998,71611,8293003
35,New Mexico,1998,12907,1794370
36,New York,1998,156619,18772357
37,North Carolina,1998,67993,7814558
38,North Dakota,1998,5920,647619
39,Ohio,1998,105891,11315474
40,Oklahoma,1998,33929,3407252
41,Oregon,1998,29383,3354163
42,Pennsylvania,1998,126700,12250692
44,Rhode Island,1998,9604,1031343
45,South Carolina,1998,34827,3920791
46,South Dakota,1998,6867,746501
47,Tennessee,1998,53415,5573935
48,Texas,1998,142605,20171768
49,Utah,1998,11824,2167719
50,Vermont,1998,4948,600704
51,Virginia,1998,54446,6905016
53,Washington,1998,42706,5771447
54,West Virginia,1998,20767,1816386
55,Wisconsin,1998,45947,5303586
56,Wyoming,1998,3853,490944
US,US,1998,2337256,276032848
