State_Code,State_Name,Year,Deaths,Population
01,Alabama,2023,59237,5108468
02,Alaska,2023,5529,733406
04,Arizona,2023,69335,7431344
05,Arkansas,2023,35758,3067732
06,California,2023,294735,38965193
08,Colorado,2023,44971,5877610
09,Connecticut,2023,32522,3617176
10,Delaware,2023,10649,1031890
11,District of Columbia,2023,4916,678972
12,Florida,2023,228940,22610726
13,Georgia,2023,96527,11029227
15,Hawaii,2023,12646,1435138
16,Idaho,2023,16474,1964726
17,Illinois,2023,113749,12549689
18,Indiana,2023,69942,6862199
19,Iowa,2023,32552,3207004
20,Kansas,2023,29267,2940546
21,Kentucky,2023,53044,4526154
22,Louisiana,2023,49437,4573749
23,Maine,2023,16750,1395722
24,Maryland,2023,53432,6180253
25,Massachusetts,2023,61171,7001399
26,Michigan,2023,103302,10037261
27,Minnesota,2023,49203,5737915
28,Mississippi,2023,35051,2939690
29,Missouri,2023,66496,6196156
30,Montana,2023,11193,1132812
31,Nebraska,2023,18306,1978379
32,Nevada,2023,29008,3194176
33,New Hampshire,2023,14146,1402054
34,New Jersey,2023,75367,9290841
35,New Mexico,2023,22287,2114371
36,New York,2023,162173,19571216
37,North Carolina,2023,107748,10835491
38,North Dakota,2023,6832,783926
39,Ohio,2023,127813,11785935
40,Oklahoma,2023,44172,4053824
41,Oregon,2023,42532,4233358
42,Pennsylvania,2023,138029,12961683
44,Rhode Island,2023,10435,1095962
45,South Carolina,2023,58012,5373555
46,South Dakota,2023,8548,919318
47,Tennessee,2023,79601,7126489
48,Texas,2023,229122,30503301
49,Utah,2023,21275,3417734
50,Vermont,2023,6770,647464
51,Virginia,2023,78158,8715698
53,Washington,2023,66016,7812880
54,West Virginia,2023,24693,1770071
55,Wisconsin,2023,57507,5910955
56,Wyoming,2023,5586,584057
US,US,2023,3090964,334914895
