State_Code,State_Name,Year,Deaths,Population
01,Alabama,2000,45062,4447100
02,Alaska,2000,2914,626932
04,Arizona,2000,40500,5130632
05,Arkansas,2000,28217,2673400
06,California,2000,229551,33871648
08,Colorado,2000,27288,4301261
09,Connecticut,2000,30129,3405565
10,Delaware,2000,6875,783600
11,District of Columbia,2000,6001,572059
12,Florida,2000,164395,15982378
13,Georgia,2000,63870,8186453
15,Hawaii,2000,8290,1211537
16,Idaho,2000,9563,1293953
17,Illinois,2000,106634,12419293
18,Indiana,2000,55469,6080485
19,Iowa,2000,28060,2926324
20,Kansas,2000,24717,2688418
21,Kentucky,2000,39504,4041769
22,Louisiana,2000,41138,4468976
23,Maine,2000,12354,1274923
24,Maryland,2000,43753,5296486
25,Massachusetts,2000,56681,6349097
26,Michigan,2000,86953,9938444
27,Minnesota,2000,37690,4919479
28,Mississippi,2000,28654,2844658
29,Missouri,2000,54865,5595211
30,Montana,2000,8096,902195
31,Nebraska,2000,14992,1711263
32,Nevada,2000,15261,1998257
33,New Hampshire,2000,9697,1235786
34,New Jersey,2000,74800,8414350
35,New Mexico,2000,13425,1819046
36,New York,2000,158203,18976457
37,North Carolina,2000,71935,8049313
38,North Dakota,2000,5856,642200
39,Ohio,2000,108125,11353140
40,Oklahoma,2000,35079,3450654
41,Oregon,2000,29552,3421399
42,Pennsylvania,2000,130813,12281054
44,Rhode Island,2000,10027,1048319
45,South Carolina,2000,36948,4012012
46,South Dakota,2000,7021,754844
47,Tennessee,2000,55246,5689283
48,Texas,2000,149939,20851820
49,Utah,2000,12364,2233169
50,Vermont,2000,5127,608827
51,Virginia,2000,56282,7078515
53,Washington,2000,43941,5894121
54,West Virginia,2000,21114,1808344
55,Wisconsin,2000,46461,5363675
56,Wyoming,2000,3920,493782
US,US,2000,2403351,281421906
