State_Code,State_Name,Year,Deaths,Population
01,Alabama,1994,41708,4262457
02,Alaska,1994,Missing,Missing
04,Arizona,1994,34298,4247728
05,Arkansas,1994,26305,2494910
06,California,1994,224292,31505058
08,Colorado,1994,24250,3725509
09,Connecticut,1994,29273,3316918
10,Delaware,1994,6339,717867
11,District of Columbia,1994,7208,591238
12,Florida,1994,148749,14244848
13,Georgia,1994,56571,7161196
15,Hawaii,1994,7336,1188875
16,Idaho,1994,8447,1145272
17,Illinois,1994,107344,11919512
18,Indiana,1994,52454,5794799
19,Iowa,1994,27702,2851451
20,Kansas,1994,23338,2581640
21,Kentucky,1994,37156,3850039
22,Louisiana,1994,39017,4349878
23,Maine,1994,11674,1242842
24,Maryland,1994,41036,5023845
25,Massachusetts,1994,54947,6096823
26,Michigan,1994,82943,9601374
27,Minnesota,1994,36539,4611776
28,Mississippi,1994,26778,2690511
29,Missouri,1994,53785,5326464
30,Montana,1994,7362,861438
31,Nebraska,1994,15011,1639753
32,Nevada,1994,11913,1499740
33,New Hampshire,1994,8920,1142653
34,New Jersey,1994,72305,8017412
35,New Mexico,1994,12129,1683067
36,New York,1994,168764,18469421
37,North Carolina,1994,63240,7190261
38,North Dakota,1994,5895,645004
39,Ohio,1994,103262,11154945
40,Oklahoma,1994,32299,3282213
41,Oregon,1994,27407,3121913
42,Pennsylvania,1994,128045,12170062
44,Rhode Island,1994,9408,1015892
45,South Carolina,1994,32274,3706500
46,South Dakota,1994,6743,731147
47,Tennessee,1994,50525,5233322
48,Texas,1994,136079,18572123
49,Utah,1994,10473,1961072
50,Vermont,1994,4784,584098
51,Virginia,1994,52188,6597000
53,Washington,1994,39960,5376439
54,West Virginia,1994,20152,1820782
55,Wisconsin,1994,44441,5138097
56,Wyoming,1994,3481,480373
US,US,1994,2278994,263241475
