State_Code,State_Name,Year,Deaths,Population
01,Alabama,2017,53238,4874747
02,Alaska,2017,4411,739795
04,Arizona,2017,57758,7016270
05,Arkansas,2017,32588,3004279
06,California,2017,268189,39536653
08,Colorado,2017,38063,5607154
09,Connecticut,2017,31312,3588184
10,Delaware,2017,9178,961939
11,District of Columbia,2017,4965,693972
12,Florida,2017,203636,20984400
13,Georgia,2017,83098,10429379
15,Hawaii,2017,11390,1427538
16,Idaho,2017,14011,1716943
17,Illinois,2017,109721,12802023
18,Indiana,2017,65597,6666818
19,Iowa,2017,30530,3145711
20,Kansas,2017,27063,2913123
21,Kentucky,2017,48212,4454189
22,Louisiana,2017,45804,4684333
23,Maine,2017,14676,1335907
24,Maryland,2017,49926,6052177
25,Massachusetts,2017,58803,6859819
26,Michigan,2017,97602,9962311
27,Minnesota,2017,44371,5576606
28,Mississippi,2017,32280,2984100
29,Missouri,2017,61876,6113532
30,Montana,2017,10200,1050493
31,Nebraska,2017,16878,1920076
32,Nevada,2017,24657,2998039
33,New Hampshire,2017,12504,1342795
34,New Jersey,2017,74846,9005644
35,New Mexico,2017,18673,2088070
36,New York,2017,155358,19849399
37,North Carolina,2017,93157,10273419
38,North Dakota,2017,6415,755393
39,Ohio,2017,123648,11658609
40,Oklahoma,2017,40452,3930864
41,Oregon,2017,36624,4142776
42,Pennsylvania,2017,135656,12805537
44,Rhode Island,2017,10157,1059639
45,South Carolina,2017,49441,5024369
46,South Dakota,2017,7996,869666
47,Tennessee,2017,70096,6715984
48,Texas,2017,198106,28304596
49,Utah,2017,18035,3101833
50,Vermont,2017,6007,623657
51,Virginia,2017,68579,8470020
53,Washington,2017,56995,7405743
54,West Virginia,2017,23276,1815857
55,Wisconsin,2017,52681,5795483
56,Wyoming,2017,4768,579315
US,US,2017,2813503,325719178
