State_Code,State_Name,Year,Deaths,Population
01,Alabama,2013,50189,4829479
02,Alaska,2013,3997,736879
04,Arizona,2013,50534,6624617
05,Arkansas,2013,30437,2958663
06,California,2013,248359,38335203
08,Colorado,2013,33712,5267603
09,Connecticut,2013,29632,3596003
10,Delaware,2013,7967,925395
11,District of Columbia,2013,4719,649165
12,Florida,2013,181112,19582022
13,Georgia,2013,75088,9984938
15,Hawaii,2013,10505,1406481
16,Idaho,2013,12434,1612011
17,Illinois,2013,103401,12879505
18,Indiana,2013,60716,6569102
19,Iowa,2013,28948,3091930
20,Kansas,2013,25414,2892821
21,Kentucky,2013,43759,4400477
22,Louisiana,2013,43270,4626402
23,Maine,2013,13547,1329076
24,Maryland,2013,45689,5931129
25,Massachusetts,2013,54567,6706786
26,Michigan,2013,92408,9898982
27,Minnesota,2013,40987,5418521
28,Mississippi,2013,30703,2990482
29,Missouri,2013,57444,6042711
30,Montana,2013,9511,1014314
31,Nebraska,2013,15754,1868559
32,Nevada,2013,21468,2786464
33,New Hampshire,2013,10897,1322687
34,New Jersey,2013,71403,8899162
35,New Mexico,2013,16805,2085193
36,New York,2013,150919,19673546
37,North Carolina,2013,83329,9841590
38,North Dakota,2013,6233,724019
39,Ohio,2013,113258,11570022
40,Oklahoma,2013,38384,3852415
41,Oregon,2013,33939,3925751
42,Pennsylvania,2013,129123,12781338
44,Rhode Island,2013,9792,1053033
45,South Carolina,2013,44582,4767894
46,South Dakota,2013,7099,844922
47,Tennessee,2013,63406,6494821
48,Texas,2013,179183,26473525
49,Utah,2013,16366,2902663
50,Vermont,2013,5639,627140
51,Virginia,2013,62716,8262692
53,Washington,2013,51264,6968006
54,West Virginia,2013,21843,1853231
55,Wisconsin,2013,50026,5742854
56,Wyoming,2013,4516,582684
US,US,2013,2596993,316204908
