State_Code,State_Name,Year,Deaths,Population
01,Alabama,2018,54352,4887871
02,Alaska,2018,4453,737438
04,Arizona,2018,59282,7171646
05,Arkansas,2018,32336,3013825
06,California,2018,268818,39557045
08,Colorado,2018,38526,5695564
09,Connecticut,2018,31230,3572665
10,Delaware,2018,9433,967171
11,District of Columbia,2018,5008,702455
12,Florida,2018,205426,21299325
13,Georgia,2018,85202,10519475
15,Hawaii,2018,11415,1420491
16,Idaho,2018,14261,1754208
17,Illinois,2018,110022,12741080
18,Indiana,2018,65693,6691878
19,Iowa,2018,30367,3156145
20,Kansas,2018,27537,2911505
21,Kentucky,2018,48707,4468402
22,Louisiana,2018,46048,4659978
23,Maine,2018,14715,1338404
24,Maryland,2018,50568,6042718
25,Massachusetts,2018,59152,6902149
26,Michigan,2018,98903,9995915
27,Minnesota,2018,44745,5611179
28,Mississippi,2018,32301,2986530
29,Missouri,2018,63117,6126452
30,Montana,2018,9992,1062305
31,Nebraska,2018,16904,1929268
32,Nevada,2018,24715,3034392
33,New Hampshire,2018,12774,1356458
34,New Jersey,2018,75765,8908520
35,New Mexico,2018,19007,2095428
36,New York,2018,157183,19542209
37,North Carolina,2018,93885,10383620
38,North Dakota,2018,6445,760077
39,Ohio,2018,124264,11689442
40,Oklahoma,2018,40933,3943079
41,Oregon,2018,36187,4190713
42,Pennsylvania,2018,134702,12807060
44,Rhode Island,2018,10083,1057315
45,South Carolina,2018,50640,5084127
46,South Dakota,2018,7971,882235
47,Tennessee,2018,71078,6770010
48,Texas,2018,202211,28701845
49,Utah,2018,18354,3161105
50,Vermont,2018,6027,626299
51,Virginia,2018,69359,8517685
53,Washington,2018,56877,7535591
54,West Virginia,2018,23478,1805832
55,Wisconsin,2018,53684,5813568
56,Wyoming,2018,5070,577737
US,US,2018,2839205,327167434
