State_Code,State_Name,Year,Deaths,Population
01,Alabama,2022,62294,5074296
02,Alaska,2022,5719,733583
04,Arizona,2022,74082,7359197
05,Arkansas,2022,37855,3045637
06,California,2022,313161,39029342
08,Colorado,2022,46787,5839926
09,Connecticut,2022,34583,3626205
10,Delaware,2022,11351,1018396
11,District of Columbia,2022,5385,671803
12,Florida,2022,239119,22244823
13,Georgia,2022,102342,10912876
15,Hawaii,2022,13228,1440196
16,Idaho,2022,17162,1939033
17,Illinois,2022,122963,12582032
18,Indiana,2022,75368,6833037
19,Iowa,2022,33973,3200517
20,Kansas,2022,31551,2937150
21,Kentucky,2022,57053,4512310
22,Louisiana,2022,52339,4590241
23,Maine,2022,17364,1385340
24,Maryland,2022,56456,6164660
25,Massachusetts,2022,63366,6981974
26,Michigan,2022,110499,10034113
27,Minnesota,2022,51222,5717184
28,Mississippi,2022,37803,2940057
29,Missouri,2022,71851,6177957
30,Montana,2022,11684,1122867
31,Nebraska,2022,18615,1967923
32,Nevada,2022,30960,3177772
33,New Hampshire,2022,14515,1395231
34,New Jersey,2022,81490,9261699
35,New Mexico,2022,23655,2113344
36,New York,2022,173944,19677151
37,North Carolina,2022,112923,10698973
38,North Dakota,2022,7041,779261
39,Ohio,2022,138209,11756058
40,Oklahoma,2022,47976,4019800
41,Oregon,2022,44598,4240137
42,Pennsylvania,2022,147181,12972008
44,Rhode Island,2022,10704,1093734
45,South Carolina,2022,61052,5282634
46,South Dakota,2022,9016,909824
47,Tennessee,2022,84989,7051339
48,Texas,2022,241441,30029572
49,Utah,2022,21886,3380800
50,Vermont,2022,6971,647064
51,Virginia,2022,82935,8683619
53,Washington,2022,69194,7785786
54,West Virginia,2022,27507,1775156
55,Wisconsin,2022,60590,5892539
56,Wyoming,2022,5905,581381
US,US,2022,3279857,333287557
