State_Code,State_Name,Year,Deaths,Population
01,Alabama,2006,46977,4628981
02,Alaska,2006,3354,675302
04,Arizona,2006,46365,6029141
05,Arkansas,2006,27901,2821761
06,California,2006,237126,36021202
08,Colorado,2006,29521,4720423
09,Connecticut,2006,29260,3517460
10,Delaware,2006,7204,859268
11,District of Columbia,2006,5344,570681
12,Florida,2006,170066,18166990
13,Georgia,2006,67808,9155813
15,Hawaii,2006,9432,1309731
16,Idaho,2006,10613,1468669
17,Illinois,2006,102171,12643955
18,Indiana,2006,55622,6332669
19,Iowa,2006,27362,2982644
20,Kansas,2006,24553,2762931
21,Kentucky,2006,40102,4219239
22,Louisiana,2006,40045,4302665
23,Maine,2006,12294,1323619
24,Maryland,2006,43582,5627367
25,Massachusetts,2006,53450,6410084
26,Michigan,2006,86042,10036081
27,Minnesota,2006,37028,5163555
28,Mississippi,2006,28564,2904978
29,Missouri,2006,54681,5842704
30,Montana,2006,8472,952692
31,Nebraska,2006,14899,1772693
32,Nevada,2006,18872,2522658
33,New Hampshire,2006,10060,1308389
34,New Jersey,2006,70356,8661679
35,New Mexico,2006,15296,1962137
36,New York,2006,148806,19104631
37,North Carolina,2006,74716,8917270
38,North Dakota,2006,5868,649422
39,Ohio,2006,106825,11481213
40,Oklahoma,2006,35427,3594090
41,Oregon,2006,31380,3670883
42,Pennsylvania,2006,125539,12510809
44,Rhode Island,2006,9690,1063096
45,South Carolina,2006,38761,4357847
46,South Dakota,2006,7084,783033
47,Tennessee,2006,56838,6088766
48,Texas,2006,157150,23359580
49,Utah,2006,13764,2525507
50,Vermont,2006,5048,622892
51,Virginia,2006,57690,7673725
53,Washington,2006,46120,6370753
54,West Virginia,2006,20672,1827912
55,Wisconsin,2006,46153,5577655
56,Wyoming,2006,4311,522667
US,US,2006,2426264,298379912
