State_Code,State_Name,Year,Deaths,Population
01,Alabama,1992,39352,4155699
02,Alaska,1992,Missing,Missing
04,Arizona,1992,31055,3917373
05,Arkansas,1992,24956,2416429
06,California,1992,215847,30992952
08,Colorado,1992,22440,3496821
09,Connecticut,1992,28254,3301385
10,Delaware,1992,5941,695038
11,District of Columbia,1992,7110,600028
12,Florida,1992,139723,13654211
13,Georgia,1992,52992,6820520
15,Hawaii,1992,6968,1159490
16,Idaho,1992,7877,1072047
17,Illinois,1992,102118,11698413
18,Indiana,1992,49964,5675757
19,Iowa,1992,26593,2819049
20,Kansas,1992,22185,2533409
21,Kentucky,1992,35033,3766660
22,Louisiana,1992,37642,4294771
23,Maine,1992,11158,1238753
24,Maryland,1992,38891,4924464
25,Massachusetts,1992,53878,6030816
26,Michigan,1992,79079,9481313
27,Minnesota,1992,35037,4496148
28,Mississippi,1992,25259,2624678
29,Missouri,1992,50988,5218259
30,Montana,1992,7068,825876
31,Nebraska,1992,14644,1612239
32,Nevada,1992,10277,1352217
33,New Hampshire,1992,8545,1117966
34,New Jersey,1992,70868,7882245
35,New Mexico,1992,11176,1595850
36,New York,1992,166333,18252611
37,North Carolina,1992,59611,6900726
38,North Dakota,1992,5697,638575
39,Ohio,1992,99120,11031225
40,Oklahoma,1992,30510,3221404
41,Oregon,1992,25760,2992359
42,Pennsylvania,1992,123520,12052611
44,Rhode Island,1992,9469,1012667
45,South Carolina,1992,30638,3621983
46,South Dakota,1992,6697,713096
47,Tennessee,1992,46576,5051188
48,Texas,1992,129108,17766812
49,Utah,1992,9772,1837837
50,Vermont,1992,4796,572925
51,Virginia,1992,49363,6417314
53,Washington,1992,38162,5161525
54,West Virginia,1992,19720,1806776
55,Wisconsin,1992,42242,5028141
56,Wyoming,1992,3298,466423
US,US,1992,2175613,256606463
