State_Code,State_Name,Year,Deaths,Population
01,Alabama,1997,43258,4370490
02,Alaska,1997,Missing,Missing
04,Arizona,1997,37066,4739994
05,Arkansas,1997,27844,2602253
06,California,1997,224592,32514514
08,Colorado,1997,25626,4018882
09,Connecticut,1997,29415,3349822
10,Delaware,1997,6510,751824
11,District of Columbia,1997,6129,569116
12,Florida,1997,154497,15194344
13,Georgia,1997,59351,7691435
15,Hawaii,1997,7892,1213103
16,Idaho,1997,8976,1228543
17,Illinois,1997,102914,12192249
18,Indiana,1997,53130,5956292
19,Iowa,1997,27694,2891288
20,Kansas,1997,23750,2636018
21,Kentucky,1997,37998,3953242
22,Louisiana,1997,40006,4424355
23,Maine,1997,11993,1254858
24,Maryland,1997,41794,5156659
25,Massachusetts,1997,54685,6227915
26,Michigan,1997,83301,9811768
27,Minnesota,1997,36913,4764459
28,Mississippi,1997,27503,2778557
29,Missouri,1997,54322,5483268
30,Montana,1997,7769,890120
31,Nebraska,1997,15282,1686860
32,Nevada,1997,13380,1764495
33,New Hampshire,1997,9458,1189380
34,New Jersey,1997,72137,8222708
35,New Mexico,1997,12653,1775156
36,New York,1997,158653,18668538
37,North Carolina,1997,66022,7660857
38,North Dakota,1997,5893,649952
39,Ohio,1997,105345,11279094
40,Oklahoma,1997,33944,3374534
41,Oregon,1997,28771,3304834
42,Pennsylvania,1997,127925,12229931
44,Rhode Island,1997,9820,1024948
45,South Carolina,1997,33690,3860744
46,South Dakota,1997,6865,744434
47,Tennessee,1997,52665,5501676
48,Texas,1997,142776,19752039
49,Utah,1997,11578,2120359
50,Vermont,1997,5053,597414
51,Virginia,1997,53852,6831731
53,Washington,1997,41463,5675818
54,West Virginia,1997,20881,1819689
55,Wisconsin,1997,44891,5272971
56,Wyoming,1997,3745,489618
US,US,1997,2314245,272776678
