State_Code,State_Name,Year,Deaths,Population
01,Alabama,1969,33808,3420646
02,Alaska,1969,1303,296304
04,Arizona,1969,14031,1714047
05,Arkansas,1969,20750,1899459
06,California,1969,166077,19795002
08,Colorado,1969,17117,2160332
09,Connecticut,1969,26222,3014506
10,Delaware,1969,4755,539000
11,District of Columbia,1969,8814,764667
12,Florida,1969,72744,6598252
13,Georgia,1969,41258,4526528
15,Hawaii,1969,4076,759637
16,Idaho,1969,6142,699533
17,Illinois,1969,111417,11069375
18,Indiana,1969,49524,5167826
19,Iowa,1969,29385,2811716
20,Kansas,1969,22854,2253857
21,Kentucky,1969,32899,3180388
22,Louisiana,1969,33862,3614715
23,Maine,1969,10913,981759
24,Maryland,1969,32382,3869900
25,Massachusetts,1969,57793,5661068
26,Michigan,1969,76808,8837714
27,Minnesota,1969,33843,3780598
28,Mississippi,1969,23879,2196956
29,Missouri,1969,52463,4657984
30,Montana,1969,6713,685625
31,Nebraska,1969,14932,1475728
32,Nevada,1969,3691,472069
33,New Hampshire,1969,7521,723626
34,New Jersey,1969,67972,7108685
35,New Mexico,1969,7209,999900
36,New York,1969,188469,18191790
37,North Carolina,1969,44902,5026390
38,North Dakota,1969,5607,613777
39,Ohio,1969,101240,10621131
40,Oklahoma,1969,26032,2531627
41,Oregon,1969,19585,2060075
42,Pennsylvania,1969,127261,11756308
44,Rhode Island,1969,9300,942007
45,South Carolina,1969,22853,2555782
46,South Dakota,1969,6760,664645
47,Tennessee,1969,37900,3884116
48,Texas,1969,94043,11053941
49,Utah,1969,6819,1039193
50,Vermont,1969,4427,439231
51,Virginia,1969,39126,4600264
53,Washington,1969,30632,3398000
54,West Virginia,1969,19830,1730922
55,Wisconsin,1969,41106,4392870
56,Wyoming,1969,2941,328711
US,US,1969,1921990,201568182
