State_Code,State_Name,Year,Deaths,Population
01,Alabama,2001,45316,4467634
02,Alaska,2001,2974,633714
04,Arizona,2001,41058,5273477
05,Arkansas,2001,27759,2691571
06,California,2001,234044,34479458
08,Colorado,2001,28294,4425687
09,Connecticut,2001,29827,3432835
10,Delaware,2001,7112,795699
11,District of Columbia,2001,5951,574504
12,Florida,2001,167269,16356966
13,Georgia,2001,64485,8377038
15,Hawaii,2001,8394,1225948
16,Idaho,2001,9753,1319962
17,Illinois,2001,105430,12488445
18,Indiana,2001,55198,6127760
19,Iowa,2001,27791,2931997
20,Kansas,2001,24647,2702162
21,Kentucky,2001,39861,4068132
22,Louisiana,2001,41757,4477875
23,Maine,2001,12421,1285692
24,Maryland,2001,43839,5374691
25,Massachusetts,2001,56754,6397634
26,Michigan,2001,86424,9991120
27,Minnesota,2001,37735,4982796
28,Mississippi,2001,28259,2852994
29,Missouri,2001,54982,5641142
30,Montana,2001,8265,906961
31,Nebraska,2001,15174,1719836
32,Nevada,2001,16285,2098399
33,New Hampshire,2001,9815,1255517
34,New Jersey,2001,74710,8492671
35,New Mexico,2001,14129,1831690
36,New York,2001,159240,19082838
37,North Carolina,2001,70934,8210122
38,North Dakota,2001,6048,639062
39,Ohio,2001,108027,11387404
40,Oklahoma,2001,34682,3467100
41,Oregon,2001,30158,3467937
42,Pennsylvania,2001,129729,12298970
44,Rhode Island,2001,10021,1057142
45,South Carolina,2001,36612,4064995
46,South Dakota,2001,6923,757972
47,Tennessee,2001,55151,5750789
48,Texas,2001,152779,21319622
49,Utah,2001,12662,2283715
50,Vermont,2001,5201,612223
51,Virginia,2001,56280,7198362
53,Washington,2001,44642,5985722
54,West Virginia,2001,20967,1801481
55,Wisconsin,2001,46628,5406835
56,Wyoming,2001,4029,494657
US,US,2001,2416425,284968955
