State_Code,State_Name,Year,Deaths,Population
01,Alabama,2007,46696,4672840
02,Alaska,2007,3463,680300
04,Arizona,2007,45554,6167681
05,Arkansas,2007,28191,2848650
06,California,2007,233720,36250311
08,Colorado,2007,29993,4803868
09,Connecticut,2007,28651,3527270
10,Delaware,2007,7327,871749
11,District of Columbia,2007,5188,574404
12,Florida,2007,168096,18367842
13,Georgia,2007,68331,9349988
15,Hawaii,2007,9495,1315675
16,Idaho,2007,10822,1505105
17,Illinois,2007,100503,12695866
18,Indiana,2007,54000,6379599
19,Iowa,2007,27221,2999212
20,Kansas,2007,24491,2783785
21,Kentucky,2007,40090,4256672
22,Louisiana,2007,39966,4375581
23,Maine,2007,12493,1327040
24,Maryland,2007,43757,5653408
25,Massachusetts,2007,52917,6431559
26,Michigan,2007,86721,10001284
27,Minnesota,2007,37138,5207203
28,Mississippi,2007,28255,2928350
29,Missouri,2007,54166,5887612
30,Montana,2007,8624,964706
31,Nebraska,2007,15263,1783440
32,Nevada,2007,18687,2601072
33,New Hampshire,2007,10303,1312540
34,New Jersey,2007,69662,8677885
35,New Mexico,2007,15482,1990070
36,New York,2007,147680,19132335
37,North Carolina,2007,76046,9118037
38,North Dakota,2007,5561,652822
39,Ohio,2007,106534,11500468
40,Oklahoma,2007,36032,3634349
41,Oregon,2007,31403,3722417
42,Pennsylvania,2007,125104,12563937
44,Rhode Island,2007,9723,1057315
45,South Carolina,2007,39439,4444110
46,South Dakota,2007,6826,791623
47,Tennessee,2007,57087,6175727
48,Texas,2007,160548,23831983
49,Utah,2007,14143,2597746
50,Vermont,2007,5179,623481
51,Virginia,2007,58225,7751000
53,Washington,2007,47323,6461587
54,West Virginia,2007,21086,1834052
55,Wisconsin,2007,46241,5610775
56,Wyoming,2007,4266,534876
US,US,2007,2423712,301231207
