State_Code,State_Name,Year,Deaths,Population
01,Alabama,1983,35560,3933838
02,Alaska,1983,1897,490111
04,Arizona,1983,22593,2974479
05,Arkansas,1983,23154,2305943
06,California,1983,188442,25398443
08,Colorado,1983,19549,3137512
09,Connecticut,1983,27246,3164200
10,Delaware,1983,5012,605660
11,District of Columbia,1983,6764,634223
12,Florida,1983,113195,10764476
13,Georgia,1983,46005,5729765
15,Hawaii,1983,5482,1014687
16,Idaho,1983,7241,981166
17,Illinois,1983,102438,11411820
18,Indiana,1983,47747,5448436
19,Iowa,1983,27528,2869260
20,Kansas,1983,21931,2416834
21,Kentucky,1983,34224,3692888
22,Louisiana,1983,36409,4398962
23,Maine,1983,10929,1145063
24,Maryland,1983,35056,4317920
25,Massachusetts,1983,54291,5804093
26,Michigan,1983,76684,9044768
27,Minnesota,1983,33937,4140847
28,Mississippi,1983,23942,2567091
29,Missouri,1983,49525,4945152
30,Montana,1983,6713,813994
31,Nebraska,1983,14718,1584550
32,Nevada,1983,6378,902325
33,New Hampshire,1983,7973,958516
34,New Jersey,1983,69289,7472553
35,New Mexico,1983,9205,1396135
36,New York,1983,169885,17700795
37,North Carolina,1983,50208,6077569
38,North Dakota,1983,5576,677113
39,Ohio,1983,97551,10735643
40,Oklahoma,1983,29438,3292987
41,Oregon,1983,22462,2652041
42,Pennsylvania,1983,121459,11840497
44,Rhode Island,1983,9307,956902
45,South Carolina,1983,26164,3234838
46,South Dakota,1983,6628,693218
47,Tennessee,1983,41621,4658925
48,Texas,1983,114813,15773066
49,Utah,1983,8512,1593625
50,Vermont,1983,4590,523511
51,Virginia,1983,43743,5568120
53,Washington,1983,32668,4301870
54,West Virginia,1983,19325,1943037
55,Wisconsin,1983,41033,4722266
56,Wyoming,1983,3161,510050
US,US,1983,2019201,233921783
